param A_test:
	1	2	3	4 :=
	161	0.267	0.894	0.516	0.480
	162	0.249	0.408	0.214	0.860
	163	0.169	0.721	0.872	0.659
	164	0.124	0.318	0.319	0.423
	165	0.749	0.396	0.487	0.341
	166	0.094	0.366	0.716	0.845
	167	0.383	0.112	0.121	0.899
	168	0.955	0.148	1.000	0.170
	169	0.616	0.338	0.729	0.488
	170	0.728	0.612	0.315	0.046
	171	0.392	0.795	0.431	0.878
	172	0.850	0.972	0.502	0.566
	173	0.729	0.950	0.929	0.850
	174	0.521	0.805	0.997	0.521
	175	0.005	0.137	0.313	0.735
	176	0.310	0.462	0.238	0.625
	177	0.273	0.017	0.304	0.704
	178	0.440	0.554	0.867	0.942
	179	0.684	0.671	0.070	0.613
	180	0.919	0.134	0.326	0.916
	181	0.301	0.921	0.793	0.614
	182	0.418	0.924	0.118	0.655
	183	0.627	0.928	0.566	0.931
	184	0.462	0.371	0.186	0.329
	185	0.306	0.014	0.985	0.377
	186	0.506	0.295	0.761	0.833
	187	0.416	0.134	0.132	0.209
	188	0.788	0.627	0.672	0.907
	189	0.221	0.534	0.210	0.787
	190	0.841	0.249	0.836	0.027
	191	0.150	0.334	0.592	0.135
	192	0.219	0.641	0.006	0.980
	193	0.217	0.396	0.607	0.349
	194	0.355	0.138	0.232	0.027
	195	0.513	0.248	0.578	0.723
	196	0.043	0.565	0.284	0.880
	197	0.863	0.029	0.926	0.454
	198	0.636	0.673	0.805	0.642
	199	0.279	0.859	0.049	0.886
	200	0.654	0.241	0.346	0.885
	201	0.390	0.399	0.516	0.969
	202	0.551	0.012	0.687	0.835
	203	0.278	0.698	0.921	0.204
	204	0.086	0.840	0.825	0.891
	205	0.478	0.170	0.340	0.527
	206	0.548	0.180	0.297	0.894
	207	0.565	0.285	0.465	0.081
	208	0.587	0.632	0.266	0.273
	209	0.158	0.552	0.166	0.079
	210	0.318	0.165	0.595	0.143
	211	0.077	0.621	0.225	0.417
	212	0.281	0.965	0.328	0.579
	213	0.394	0.144	0.144	0.858
	214	0.397	0.445	0.858	0.663
	215	0.325	0.821	0.270	0.491
	216	0.025	0.809	0.065	0.621
	217	0.120	0.698	0.573	0.345
	218	0.720	0.626	0.080	0.048
	219	0.940	0.441	0.349	0.083
	220	0.574	0.481	0.745	0.432
	221	0.463	0.757	0.965	0.732
	222	0.865	0.758	0.057	0.930
	223	0.009	0.049	0.076	0.581
	224	0.190	0.301	0.021	0.271
	225	0.226	0.210	0.790	0.575
	226	0.090	0.149	0.775	0.835
	227	0.919	0.298	0.339	0.884
	228	0.587	0.749	0.788	0.643
	229	0.166	0.652	0.728	0.242
	230	0.122	0.432	0.534	0.143
	231	0.883	0.369	0.913	0.674
	232	0.206	0.764	0.094	0.981
	233	0.675	0.900	0.896	0.014
	234	0.926	0.600	0.532	0.714
	235	0.210	0.880	0.895	0.938
	236	0.128	0.061	0.553	0.663
	237	0.256	0.546	0.573	0.169
	238	0.518	0.375	0.983	0.612
	239	0.582	0.287	0.256	0.478
	240	0.039	0.404	0.900	0.571
	241	0.144	0.782	0.997	0.039
	242	0.118	0.168	0.780	0.672
	243	0.984	0.928	0.376	0.558
	244	0.596	0.075	0.472	0.579
	245	0.828	0.161	0.973	0.084
	246	0.274	0.123	0.042	0.174
	247	0.160	0.317	0.476	0.157
	248	0.196	0.275	0.524	0.976
	249	0.354	0.961	0.875	0.731
	250	0.972	0.326	0.594	0.444
	251	0.281	0.272	0.066	0.254
	252	0.704	0.528	0.479	0.746
	253	0.174	0.906	0.019	0.650
	254	0.376	0.846	0.338	0.900
	255	0.285	0.254	0.784	0.160
	256	0.302	0.132	0.311	0.896
	257	0.216	0.177	0.848	0.282
	258	0.204	0.986	0.959	0.684
	259	0.661	0.858	0.639	0.680
	260	0.701	0.056	0.354	0.040
	261	0.177	0.325	0.209	0.961
	262	0.194	0.263	0.617	0.505
	263	0.193	0.722	0.336	0.041
	264	0.768	0.245	0.990	0.727
	265	0.723	0.388	0.786	0.361
	266	0.294	0.062	0.124	0.648
	267	0.079	0.826	0.427	0.288
	268	0.912	0.482	0.050	0.529
	269	0.209	0.722	0.709	0.546
	270	0.713	0.313	0.008	0.703
	271	0.936	0.425	0.428	0.722
	272	0.496	0.016	0.849	0.620
	273	0.951	0.699	0.490	0.377
	274	0.277	0.289	0.470	0.327
	275	0.457	0.536	0.540	0.167
	276	0.302	0.879	0.395	0.310
	277	0.436	0.246	0.008	0.864
	278	0.794	0.360	0.985	0.643
	279	0.650	0.593	0.679	0.140
	280	0.667	0.417	0.260	0.136
	281	0.078	0.594	0.280	0.618
	282	0.361	0.920	0.640	0.757
	283	0.222	0.192	0.477	0.230
	284	0.445	0.024	0.416	0.431
	285	0.397	0.081	0.260	0.076
	286	0.231	0.743	0.638	0.491
	287	0.381	0.568	0.473	0.661
	288	0.233	0.023	0.106	0.873
	289	0.336	0.095	0.971	0.813
	290	0.027	0.258	0.348	0.444
	291	0.014	0.841	0.769	0.274
	292	0.990	0.505	0.660	0.628
	293	0.540	0.009	0.564	0.013
	294	0.749	0.246	0.693	0.855
	295	0.472	0.191	0.214	0.443
	296	0.539	0.470	0.262	0.887
	297	0.951	0.901	0.755	0.720
	298	0.672	0.710	0.680	0.332
	299	0.676	0.872	0.346	0.239
	300	0.016	0.989	0.131	0.709
	301	0.251	0.180	0.035	0.465
	302	0.039	0.004	0.093	0.301
	303	0.007	0.251	0.792	0.762
	304	0.968	0.434	0.681	0.648
	305	0.019	0.323	0.638	0.365
	306	0.523	0.381	0.551	0.654
	307	0.395	0.905	0.270	0.430
	308	0.894	0.469	0.374	0.987
	309	0.265	0.994	0.021	0.057
	310	0.992	0.025	0.190	0.673
	311	0.956	0.692	0.996	0.594
	312	0.558	0.117	0.438	0.110
	313	0.528	0.505	0.676	0.798
	314	0.046	0.691	0.404	0.420
	315	0.173	0.685	0.673	0.195
	316	0.429	0.187	0.766	0.619
	317	0.439	0.575	0.552	0.435
	318	0.609	0.993	0.287	0.047
	319	0.058	0.574	0.607	0.734
	320	0.542	0.779	0.063	0.946
	321	0.741	0.119	0.884	0.414
	322	0.626	0.843	0.500	0.392
	323	0.361	0.831	0.037	0.913
	324	0.207	0.522	0.259	0.494
	325	0.362	0.551	0.143	0.969
	326	0.515	0.511	0.064	0.578
	327	0.264	0.320	0.576	0.147
	328	0.889	0.773	0.577	0.390
	329	0.039	0.750	0.996	0.076
	330	0.262	0.283	0.185	0.521
	331	0.754	0.882	0.328	0.897
	332	0.613	0.412	0.362	0.678
	333	0.818	0.941	0.310	0.394
	334	0.044	0.283	0.862	0.620
	335	0.027	0.659	0.423	0.024
	336	0.086	0.286	0.018	0.272
	337	0.795	0.026	0.689	0.123
	338	0.540	0.736	0.335	0.902
	339	0.326	0.720	0.356	0.636
	340	0.445	0.680	0.397	0.307
	341	0.070	0.334	0.959	0.493
	342	0.694	0.579	0.643	0.712
	343	0.450	0.506	0.877	0.138
	344	0.800	0.678	0.366	0.135
	345	0.780	0.461	0.301	0.136
	346	0.414	0.580	0.776	0.811
	347	0.076	0.881	0.221	0.035
	348	0.578	0.729	0.952	0.221
	349	0.803	0.671	0.947	0.680
	350	0.577	0.480	0.488	0.943
	351	0.068	0.723	0.076	0.368
	352	0.173	0.783	0.439	0.950
	353	0.326	0.026	0.475	0.547
	354	0.849	0.125	0.790	0.801
	355	0.230	0.604	0.017	0.177
	356	0.826	0.754	0.764	0.313
	357	0.379	0.381	0.419	0.456
	358	0.278	0.629	0.533	0.716
	359	0.127	0.042	0.605	0.602
	360	0.666	0.451	0.714	0.456
	361	0.060	0.686	0.855	0.077
	362	0.139	0.903	0.617	0.903
	363	0.313	0.283	0.598	0.732
	364	0.347	0.009	0.368	0.880
	365	0.946	0.007	0.768	0.551
	366	0.357	0.217	0.059	0.071
	367	0.311	0.131	0.358	0.166
	368	0.221	0.306	0.110	0.838
	369	0.327	0.150	0.492	0.924
	370	0.230	0.271	0.891	0.598
	371	0.617	0.544	0.158	0.385
	372	0.767	0.742	0.312	0.827
	373	0.984	0.138	0.945	0.342
	374	0.152	0.563	0.609	0.263
	375	0.818	0.589	0.551	0.310
	376	0.433	0.540	0.785	0.324
	377	0.937	0.941	0.681	0.095
	378	0.776	0.862	0.069	0.087
	379	0.882	0.071	0.827	0.827
	380	0.131	0.979	0.976	0.740
	381	0.376	0.558	0.832	0.927
	382	0.345	0.360	0.408	0.130
	383	0.545	0.067	0.626	0.226
	384	0.952	0.002	0.024	0.021
	385	0.713	0.904	0.161	0.540
	386	0.574	0.670	0.710	0.550
	387	0.952	0.926	0.969	0.784
	388	0.837	0.129	0.214	0.245
	389	0.898	0.790	0.326	0.524
	390	0.487	0.476	0.018	0.511
	391	0.108	0.224	0.401	0.269
	392	0.132	0.843	0.434	0.842
	393	0.844	0.794	0.319	0.812
	394	0.172	0.649	0.707	0.386
	395	0.965	0.284	0.683	0.291
	396	0.699	0.778	0.284	0.718
	397	0.781	0.825	0.513	0.182
	398	0.277	0.314	0.937	0.710
	399	0.329	0.554	0.950	0.648
	400	0.528	0.821	0.015	0.234
	401	0.909	0.200	0.491	0.593
	402	0.299	0.292	0.269	0.582
	403	0.558	0.364	0.835	0.072
	404	0.929	0.348	0.860	0.865
	405	0.016	0.195	0.612	0.966
	406	0.979	0.494	0.663	0.994
	407	0.870	0.903	0.928	0.360
	408	0.419	0.659	0.788	0.688
	409	0.797	0.246	0.605	0.632
	410	0.151	0.561	0.666	0.011
	411	0.724	0.026	0.621	0.336
	412	0.463	0.315	0.486	0.127
	413	0.215	0.996	0.213	0.142
	414	0.708	0.561	0.016	0.496
	415	0.257	0.293	0.496	0.862
	416	0.813	0.013	0.486	0.479
	417	0.912	0.203	0.050	0.533
	418	0.042	0.997	0.855	0.528
	419	0.164	0.743	0.120	0.377
	420	0.476	0.085	0.447	0.492
	421	0.696	0.749	0.875	0.191
	422	0.800	0.005	0.623	0.286
	423	0.646	0.199	0.687	0.696
	424	0.227	0.738	0.729	0.082
	425	0.852	0.247	0.009	0.972
	426	0.894	0.448	0.709	0.341
	427	0.290	0.037	0.688	0.165
	428	0.299	0.965	0.233	0.922
	429	0.716	0.569	0.450	0.404
	430	0.182	0.631	0.002	0.911
	431	0.268	0.763	0.959	0.277
	432	0.583	0.172	0.183	0.292
	433	0.122	0.582	0.549	0.811
	434	0.777	0.110	0.712	0.009
	435	0.963	0.726	0.601	0.413
	436	0.865	0.595	0.760	0.868
	437	0.473	0.136	0.269	0.433
	438	0.004	0.016	0.585	0.187
	439	0.097	0.309	0.889	0.646
	440	0.636	0.423	0.229	0.348
	441	0.262	0.310	0.158	0.863
	442	0.287	0.728	0.319	0.048
	443	0.825	0.521	0.732	0.094
	444	0.145	0.099	0.969	0.730
	445	0.276	0.827	0.594	0.165
	446	0.714	0.801	0.896	0.943
	447	0.329	0.205	0.459	0.487
	448	0.183	0.774	0.796	0.501
	449	0.391	0.326	0.343	0.123
	450	0.296	0.268	0.519	0.265
	451	0.804	0.541	0.825	0.399
	452	0.299	0.112	0.508	0.195
	453	0.656	0.524	0.261	0.115
	454	0.329	0.298	0.785	0.124
	455	0.607	0.516	0.126	0.949
	456	0.546	0.245	0.907	0.065
	457	0.905	0.870	0.051	0.731
	458	0.758	0.029	0.381	0.265
	459	0.437	0.921	0.749	0.698
	460	0.760	0.026	0.335	0.545
	461	0.134	0.152	0.666	0.259
	462	0.305	0.806	0.346	0.212
	463	0.857	0.118	0.741	0.908
	464	0.009	0.666	0.878	0.390
	465	0.102	0.827	0.853	0.851
	466	0.889	0.611	0.550	0.224
	467	0.701	0.358	0.307	0.368
	468	0.408	0.673	0.423	0.754
	469	0.294	0.611	0.003	0.035
	470	0.851	0.044	0.185	0.729
	471	0.116	0.831	0.261	0.968
	472	0.785	0.858	0.293	0.335
	473	0.448	0.036	0.440	0.755
	474	0.057	0.163	0.077	0.480
	475	0.962	0.774	0.527	0.964
	476	0.046	0.815	0.853	0.231
	477	0.287	0.346	0.375	0.548
	478	0.057	0.333	0.173	0.350
	479	0.254	0.798	0.704	0.694
	480	0.108	0.751	0.715	0.184
	481	0.632	0.146	0.006	0.159
	482	0.816	0.205	0.926	0.669
	483	0.470	0.956	0.782	0.845
	484	0.097	0.902	0.837	0.270
	485	0.504	0.524	0.050	0.208
	486	0.603	0.316	0.970	0.318
	487	0.201	0.950	0.646	0.208
	488	0.757	0.023	0.314	0.683
	489	0.750	0.153	0.649	0.532
	490	0.153	0.629	0.900	0.989
	491	0.151	0.494	0.423	0.201
	492	0.641	0.804	0.018	0.611
	493	0.519	0.812	0.071	0.165
	494	0.180	0.922	0.043	0.494
	495	0.735	0.243	0.757	0.384
	496	0.754	0.537	0.404	0.654
	497	0.303	0.805	0.020	0.726
	498	0.722	0.367	0.810	0.740
	499	0.932	0.259	0.790	0.003
	500	0.810	0.183	0.345	0.853
	501	0.950	0.589	0.920	0.706
	502	0.695	0.461	0.509	0.099
	503	0.035	0.402	0.920	0.055
	504	0.927	0.777	0.495	0.737
	505	0.473	0.669	0.775	0.263
	506	0.199	0.073	0.856	0.544
	507	0.532	0.493	0.515	0.452
	508	0.488	0.147	0.661	0.998
	509	0.775	0.033	0.648	0.696
	510	0.776	0.622	0.865	0.271
	511	0.382	0.744	0.029	0.157
	512	0.702	0.356	0.080	0.557
	513	0.006	0.089	0.393	0.521
	514	0.593	0.009	0.688	0.254
	515	0.934	0.029	0.040	0.582
	516	0.128	0.359	0.347	0.993
	517	0.707	0.374	0.373	0.736
	518	0.380	0.438	0.887	0.459
	519	0.787	0.465	0.085	0.180
	520	0.626	0.773	0.996	0.314
	521	0.003	0.248	0.055	0.043
	522	0.780	0.171	0.189	0.127
	523	0.819	0.834	0.538	0.192
	524	0.069	0.572	0.008	0.957
	525	0.004	0.744	0.496	0.088
	526	0.483	0.714	0.696	0.479
	527	0.723	0.482	0.276	0.778
	528	0.107	0.558	0.695	0.296
	529	0.859	0.114	0.520	0.397
	530	0.090	0.466	0.878	0.099
	531	0.909	0.102	0.167	0.405
	532	0.090	0.888	0.904	0.787
	533	0.932	0.510	0.848	0.208
	534	0.373	0.315	0.846	0.068
	535	0.532	0.927	0.725	0.051
	536	0.031	0.141	0.790	0.909
	537	0.214	0.818	0.342	0.380
	538	0.532	0.471	0.110	0.437
	539	0.476	0.369	0.767	0.324
	540	0.055	0.697	0.891	0.901
	541	0.502	0.433	0.692	0.226
	542	0.016	0.258	0.626	0.807
	543	0.866	0.020	0.984	0.208
	544	0.207	0.740	0.872	0.317
	545	0.129	0.793	0.546	0.897
	546	0.122	0.952	0.814	0.014
	547	0.579	0.515	0.287	0.271
	548	0.771	0.287	1.000	0.397
	549	0.166	0.262	0.114	0.150
	550	0.515	0.357	0.211	0.386
	551	0.388	0.516	0.467	0.934
	552	0.584	0.056	0.364	0.398
	553	0.218	0.977	0.586	0.504
	554	0.328	0.275	0.536	0.327
	555	0.629	0.493	0.934	0.743
	556	0.405	0.258	0.000	0.616
	557	0.674	0.004	0.160	0.141
	558	0.572	0.725	0.994	0.937
	559	0.064	0.155	0.101	0.649
	560	0.349	0.977	0.935	0.884
	561	0.606	0.514	0.797	0.541
	562	0.440	0.946	0.515	0.441
	563	0.160	0.115	0.565	0.320
	564	0.502	0.892	0.981	0.496
	565	0.104	0.560	0.984	0.204
	566	0.643	0.553	0.186	0.578
	567	0.490	0.184	0.951	0.287
	568	0.208	0.727	0.671	0.724
	569	0.232	0.883	0.282	0.797
	570	0.538	0.299	0.096	0.519
	571	0.925	0.623	0.355	0.909
	572	0.564	0.552	0.380	0.750
	573	0.818	0.240	0.315	0.769
	574	0.040	0.977	0.254	0.711
	575	0.422	0.943	0.584	0.704
	576	0.788	0.242	0.039	0.883
	577	0.834	0.808	0.383	0.189
	578	0.210	0.753	0.269	0.590
	579	0.399	0.408	0.744	0.713
	580	0.271	0.753	0.154	0.525
	581	0.856	0.946	0.406	0.440
	582	0.146	0.228	0.892	0.184
	583	0.652	0.018	0.919	0.035
	584	0.636	0.245	0.961	0.904
	585	0.464	0.303	0.243	0.208
	586	0.420	0.478	0.770	0.574
	587	0.233	0.430	0.949	0.639
	588	0.600	0.785	0.097	0.491
	589	0.208	0.144	0.988	0.127
	590	0.195	0.763	0.423	0.156
	591	0.258	0.620	0.970	0.501
	592	0.987	0.921	0.306	0.756
	593	0.309	0.989	0.925	0.259
	594	0.795	0.858	0.414	0.892
	595	0.384	0.100	0.493	0.371
	596	0.671	0.566	0.990	0.095
	597	0.657	0.353	0.342	0.627
	598	0.170	0.614	0.774	0.476
	599	0.269	0.785	0.360	0.194
	600	0.988	0.988	0.902	0.403
	601	0.251	0.786	0.981	0.744
	602	0.208	0.416	0.724	0.198
	603	0.446	0.856	0.863	0.788
	604	0.717	0.958	0.097	0.491
	605	0.467	0.760	0.218	0.827
	606	0.262	0.815	0.943	0.163
	607	0.823	0.414	0.004	0.804
	608	0.162	0.012	0.574	0.886
	609	0.085	0.332	0.066	0.948
	610	0.549	0.665	0.077	0.646
	611	0.511	0.114	0.916	0.729
	612	0.870	0.990	0.756	0.813
	613	0.974	0.636	0.568	0.978
	614	0.727	0.140	0.451	0.301
	615	0.661	0.386	0.357	0.727
	616	0.477	0.276	0.999	0.554
	617	0.155	0.065	0.037	0.070
	618	0.977	0.940	0.784	0.733
	619	0.938	0.707	0.388	0.506
	620	0.828	0.233	0.825	0.279
	621	0.851	0.940	0.920	0.208
	622	0.254	0.685	0.944	0.253
	623	0.867	0.407	0.305	0.903
	624	0.098	0.880	0.418	0.883
	625	0.171	0.820	0.321	0.559
	626	0.007	0.386	0.559	0.832
	627	0.092	0.683	0.605	0.012
	628	0.272	0.266	0.576	0.216
	629	0.816	0.083	0.926	0.120
	630	0.403	0.219	0.866	0.821
	631	0.480	0.991	0.922	0.801
	632	0.248	0.808	0.937	0.807
	633	0.601	0.899	0.323	0.206
	634	0.214	0.479	0.177	0.790
	635	0.695	0.606	0.777	0.621
	636	0.763	0.024	0.945	0.629
	637	0.047	0.109	0.836	0.969
	638	0.386	0.217	0.717	0.323
	639	0.357	0.924	0.922	0.680
	640	0.833	0.894	0.609	0.010
	641	0.304	0.705	0.290	0.081
	642	0.017	0.843	0.351	0.962
	643	0.195	0.009	0.581	0.032
	644	0.490	0.418	0.194	0.208
	645	0.217	0.564	0.665	0.140
	646	0.796	0.973	0.138	0.405
	647	0.822	0.709	0.688	0.112
	648	0.015	0.129	0.633	0.365
	649	0.105	0.561	0.100	0.686
	650	0.077	0.177	0.010	0.272
	651	0.751	0.489	0.949	0.416
	652	0.193	0.212	0.602	0.331
	653	0.585	0.153	0.326	0.273
	654	0.115	0.288	0.394	0.748
	655	0.485	0.853	0.214	0.585
	656	0.807	0.662	0.716	0.817
	657	0.100	0.568	0.423	0.049
	658	0.052	0.241	0.196	0.654
	659	0.813	0.239	0.725	0.138
	660	0.990	0.253	0.800	0.384
	661	0.453	0.870	0.855	0.668
	662	0.394	0.474	0.117	0.110
	663	0.051	0.210	0.858	0.474
	664	0.842	0.527	0.500	0.038
	665	0.072	0.850	0.419	0.797
	666	0.931	0.788	0.242	0.731
	667	0.243	0.184	0.042	0.098
	668	0.496	0.492	0.326	0.613
	669	0.617	0.664	0.811	0.475
	670	0.069	0.317	0.665	0.569
	671	0.845	0.641	0.205	0.265
	672	0.194	0.196	0.225	0.436
	673	0.397	0.679	0.111	0.439
	674	0.963	0.935	0.269	0.289
	675	0.870	0.906	0.211	0.681
	676	0.350	0.750	0.699	0.014
	677	0.054	0.860	0.959	0.259
	678	0.397	0.453	0.320	0.622
	679	0.247	0.019	0.568	0.358
	680	0.345	0.321	0.393	0.614
	681	0.940	0.484	0.516	0.152
	682	0.897	0.501	0.915	0.596
	683	0.233	0.650	0.376	0.193
	684	0.500	0.590	0.363	0.820
	685	0.252	0.067	0.231	0.820
	686	0.689	0.165	0.746	0.082
	687	0.356	0.023	0.263	0.872
	688	0.428	0.769	0.676	0.342
	689	0.192	0.576	0.016	0.568
	690	0.925	0.068	0.358	0.288
	691	0.570	0.540	0.956	0.801
	692	0.381	0.490	0.525	0.127
	693	0.305	0.483	0.595	0.568
	694	0.769	0.995	0.125	0.445
	695	0.491	0.637	0.914	0.506
	696	0.682	0.431	0.272	0.041
	697	0.160	0.610	0.259	0.116
	698	0.619	0.496	0.902	0.144
	699	0.474	0.449	0.107	0.068
	700	0.463	0.837	0.012	0.588
	701	0.350	0.078	0.919	0.264
	702	0.123	0.946	0.016	0.395
	703	0.735	0.555	0.597	0.994
	704	0.009	0.612	0.167	0.910
	705	0.791	0.384	0.206	0.898
	706	0.223	0.360	0.289	0.235
	707	0.572	0.584	0.026	0.491
	708	0.610	0.614	0.794	0.626
	709	0.781	0.361	0.565	0.378
	710	0.235	0.386	0.967	0.403
	711	0.724	0.194	0.680	0.929
	712	0.132	0.152	0.451	0.422
	713	0.399	0.994	0.971	0.425
	714	0.819	0.036	0.099	0.613
	715	0.108	0.394	0.022	0.673
	716	0.377	0.908	0.158	0.344
	717	0.455	0.067	0.504	0.135
	718	0.595	0.267	0.148	0.047
	719	0.535	0.446	0.682	0.506
	720	0.167	0.325	0.907	0.265
	721	0.569	0.373	0.332	0.591
	722	0.104	0.968	0.954	0.263
	723	0.265	0.718	0.378	0.769
	724	0.375	0.365	0.120	0.523
	725	0.809	0.058	0.857	0.491
	726	0.729	0.658	0.888	0.635
	727	0.826	0.204	0.297	0.159
	728	0.343	0.263	0.763	0.297
	729	0.074	0.561	0.243	0.453
	730	0.095	0.827	0.695	0.215
	731	0.106	0.024	0.408	0.964
	732	0.972	0.692	0.173	0.860
	733	0.096	0.687	0.532	0.392
	734	0.327	0.735	0.108	0.090
